timestamp,open,high,low,close,volume
2026-04-27T00:00:00Z,95000,95120,94950,95080,120.5
2026-04-27T00:05:00Z,95080,95210,95020,95190,132.1
2026-04-27T00:10:00Z,95190,95300,95100,95260,141.3
2026-04-27T00:15:00Z,95260,95420,95220,95380,155.7
2026-04-27T00:20:00Z,95380,95500,95310,95470,160.2
2026-04-27T00:25:00Z,95470,95620,95410,95590,172.9
2026-04-27T00:30:00Z,95590,95740,95530,95680,180.4
2026-04-27T00:35:00Z,95680,95820,95610,95790,188.0
2026-04-27T00:40:00Z,95790,95900,95680,95720,170.6
2026-04-27T00:45:00Z,95720,95800,95590,95640,162.8
2026-04-27T00:50:00Z,95640,95760,95550,95710,168.4
2026-04-27T00:55:00Z,95710,95880,95690,95830,176.1
2026-04-27T01:00:00Z,95830,96010,95780,95970,190.5
2026-04-27T01:05:00Z,95970,96120,95910,96080,203.7
2026-04-27T01:10:00Z,96080,96240,96030,96190,210.2
2026-04-27T01:15:00Z,96190,96300,96100,96240,199.4
2026-04-27T01:20:00Z,96240,96380,96180,96320,205.6
2026-04-27T01:25:00Z,96320,96480,96270,96420,220.3
2026-04-27T01:30:00Z,96420,96520,96300,96360,184.9
2026-04-27T01:35:00Z,96360,96420,96180,96220,178.0
2026-04-27T01:40:00Z,96220,96310,96090,96140,166.2
2026-04-27T01:45:00Z,96140,96280,96100,96230,171.6
2026-04-27T01:50:00Z,96230,96400,96190,96370,189.3
2026-04-27T01:55:00Z,96370,96560,96320,96510,230.4
